Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
4,xavier,none,0.01,64,0.5,0.25,0.21
4,xavier,none,0.01,32,0.5,0.25,0.21
4,xavier,none,0.01,16,0.5,0.25,0.21
4,xavier,none,0.01,8,0.5,0.25,0.23
32,xavier,z-score,0.01,8,0.5,0.25,0.23
32,xavier,z-score,0.01,16,0.5,0.25,0.21
32,xavier,z-score,0.01,32,0.5,0.25,0.21
32,xavier,z-score,0.01,64,0.5,0.25,0.22
2,xavier,z-score,0.01,8,0.5,0.25,0.2
2,xavier,z-score,0.01,16,0.5,0.25,0.21
2,xavier,z-score,0.01,32,0.5,0.25,0.2
2,xavier,z-score,0.01,64,0.5,0.25,0.21
16,xavier,z-score,0.01,64,0.25,0.375,0.23
16,xavier,z-score,0.01,32,0.25,0.375,0.21
16,xavier,z-score,0.01,16,0.25,0.375,0.21
16,xavier,z-score,0.01,8,0.25,0.375,0.24
2,normal,z-score,0.5,64,0.25,0.375,0.21
2,normal,z-score,0.5,32,0.25,0.375,0.2
2,normal,z-score,0.5,16,0.25,0.375,0.21
2,normal,z-score,0.5,8,0.25,0.375,0.21
32,normal,z-score,0.1,8,0.25,0.375,0.22
32,normal,z-score,0.1,16,0.25,0.375,0.21
32,normal,z-score,0.1,32,0.25,0.375,0.2
32,normal,z-score,0.1,64,0.25,0.375,0.21
32,normal,z-score,0.5,8,0.25,0.375,0.22
32,normal,z-score,0.5,16,0.25,0.375,0.21
32,normal,z-score,0.5,32,0.25,0.375,0.21
32,normal,z-score,0.5,64,0.25,0.375,0.21
32,normal,z-score,0.01,8,0.25,0.375,0.21
32,normal,z-score,0.01,16,0.25,0.375,0.21
32,normal,z-score,0.01,32,0.25,0.375,0.21
32,normal,z-score,0.01,64,0.25,0.375,0.21
2,xavier,z-score,0.5,8,0.25,0.375,0.2
2,xavier,z-score,0.5,16,0.25,0.375,0.2
2,xavier,z-score,0.5,32,0.25,0.375,0.2
2,xavier,z-score,0.5,64,0.25,0.375,0.2
